id,title,released,popularity,average_stars,total_votes,genres,overview
299536,Avengers: Infinity War,2018-04-25,430.807,8.3,25153,"['Adventure', 'Action', 'Science Fiction']","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain."
566525,Shang-Chi and the Legend of the Ten Rings,2021-09-01,430.09,7.7,6982,"['Action', 'Adventure', 'Fantasy']",Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.
705861,Hustle,2022-06-03,429.225,7.9,1352,"['Drama', 'Comedy']","After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA."
615173,The Witch: Part 2. The Other One,2022-06-15,419.968,7.6,39,"['Action', 'Mystery', 'Thriller']","A girl wakes up in a huge secret laboratory, then accidentally meets another girl who is trying to protect her house from a gang. The mystery girl overthrows the gang with her unexpected powers, and laboratory staff set out to find her."
765172,Rise of the Teenage Mutant Ninja Turtles: The Movie,2022-08-05,413.693,7.3,52,"['Animation', 'Action', 'Comedy', 'Fantasy']","When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species."
825808,See for Me,2022-01-07,412.444,6.1,94,"['Thriller', 'Drama', 'Crime', 'Mystery', 'Horror']","When blind former skier Sophie cat-sits in a secluded mansion, three thieves invade for the hidden safe. Sophie's only defense is army veteran Kelly, who she meets on the See For Me app. Kelly helps Sophie defend herself against the invaders and survive."
440,Aliens vs Predator: Requiem,2007-12-25,410.968,5.1,2258,"['Fantasy', 'Action', 'Science Fiction', 'Thriller', 'Horror']","The iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever—in our own backyard. The small town of Gunnison, Colorado becomes a war zone between two of the deadliest extra-terrestrial life forms—the Alien and the Predator. When a Predator scout ship crash-lands in the hills outside the town, Alien Facehuggers and a hybrid Alien/Predator are released and begin to terrorize the town."
774825,The Ice Age Adventures of Buck Wild,2022-01-28,406.971,6.8,1313,"['Animation', 'Comedy', 'Adventure', 'Family']",The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.
838330,Not Okay,2022-07-29,400.739,6.7,172,"['Comedy', 'Drama']","An ambitious young woman, desperate for followers and fame, fakes a trip to Paris to up her social media presence. When a terrifying incident takes place in the real world and becomes part of her imaginary trip, her white lie becomes a moral quandary that offers her all the attention she’s wanted."
459151,The Boss Baby: Family Business,2021-07-01,398.815,7.5,2015,"['Animation', 'Comedy', 'Adventure', 'Family']",The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.
